title,description,url,clean_text
Electronics and Embedded Systems Engineering (New),,https://www.shl.com/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,electronics and embedded systems engineering new 
Microsoft Excel 365 (New),,https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,microsoft excel 365 new 
.NET MVC (New),,https://www.shl.com/products/product-catalog/view/net-mvc-new/,net mvc new 
COBOL Programming (New),,https://www.shl.com/products/product-catalog/view/cobol-programming-new/,cobol programming new 
Micro Focus Unified Functional Testing (New),,https://www.shl.com/products/product-catalog/view/micro-focus-unified-functional-testing-new/,micro focus unified functional testing new 
Smart Interview Live,,https://www.shl.com/products/product-catalog/view/smart-interview-live/,smart interview live 
Training Development,,https://www.shl.com/products/product-catalog/view/training-development/,training development 
OPQ Universal Competency Report 1.0,,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,opq universal competency report 10 
Contact Center Call Simulation (New),,https://www.shl.com/products/product-catalog/view/contact-center-call-simulation-new/,contact center call simulation new 
Sales Transformation Report 1.0 - Sales Manager,,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,sales transformation report 10  sales manager 
Manufacturing & Industrial - Vigilance Focus 8.0,,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,manufacturing  industrial  vigilance focus 80 
PJM Development Report,,https://www.shl.com/products/product-catalog/view/pjm-development-report/,pjm development report 
Petrochemical Engineering (New),,https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,petrochemical engineering new 
Java Web Services (New),,https://www.shl.com/products/product-catalog/view/java-web-services-new/,java web services new 
Apache Spark (New),,https://www.shl.com/products/product-catalog/view/apache-spark-new/,apache spark new 
MS Office Basic Computer Literacy (New),,https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,ms office basic computer literacy new 
ExpressJS (New),,https://www.shl.com/products/product-catalog/view/expressjs-new/,expressjs new 
MFS 360 Enterprise Leadership Report,,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,mfs 360 enterprise leadership report 
Workplace Administration Skills (New),,https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,workplace administration skills new 
Core Java (Advanced Level) (New),,https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,core java advanced level new 
.NET WPF (New),,https://www.shl.com/products/product-catalog/view/net-wpf-new/,net wpf new 
English Comprehension (New),,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,english comprehension new 
RemoteWorkQ Manager Report,,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,remoteworkq manager report 
.NET Framework 4.5,,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,net framework 45 
Following Instructions v1 - UK (R1),,https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,following instructions v1  uk r1 
Ruby (New),,https://www.shl.com/products/product-catalog/view/ruby-new/,ruby new 
Cashier Solution,,https://www.shl.com/products/product-catalog/view/cashier-solution/,cashier solution 
Sales & Service Phone Solution,,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/,sales  service phone solution 
SHL Verify Interactive – Deductive Reasoning,,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,shl verify interactive  deductive reasoning 
Time Management (U.S.),,https://www.shl.com/products/product-catalog/view/time-management-u-s/,time management us 
Econometrics (New),,https://www.shl.com/products/product-catalog/view/econometrics-new/,econometrics new 
JavaScript (New),,https://www.shl.com/products/product-catalog/view/javascript-new/,javascript new 
Graduate Scenarios Profile Report,,https://www.shl.com/products/product-catalog/view/graduate-scenarios-profile-report/,graduate scenarios profile report 
Agile Software Development,,https://www.shl.com/products/product-catalog/view/agile-software-development/,agile software development 
Microsoft Excel 365 - Essentials (New),,https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,microsoft excel 365  essentials new 
Automata Pro (New),,https://www.shl.com/products/product-catalog/view/automata-pro-new/,automata pro new 
Data Science (New),,https://www.shl.com/products/product-catalog/view/data-science-new/,data science new 
"Bookkeeping, Accounting, Auditing Clerk Short Form",,https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,bookkeeping accounting auditing clerk short form 
Assessment and Development Center Exercises,,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,assessment and development center exercises 
OPQ Team Types and Leadership Styles Report,,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,opq team types and leadership styles report 
Count Out The Money,,https://www.shl.com/products/product-catalog/view/count-out-the-money/,count out the money 
MS Office Basic Computer Literacy (Sim) (New),,https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,ms office basic computer literacy sim new 
Manual Testing (New),,https://www.shl.com/products/product-catalog/view/manual-testing-new/,manual testing new 
Java 2 Platform Enterprise Edition 1.4 Fundamental,,https://www.shl.com/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,java 2 platform enterprise edition 14 fundamental 
Dojo (New),,https://www.shl.com/products/product-catalog/view/dojo-new/,dojo new 
jQuery (New),,https://www.shl.com/products/product-catalog/view/jquery-new/,jquery new 
RemoteWorkQ Participant Report,,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,remoteworkq participant report 
Verify - Inductive Reasoning (2014),,https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning-2014/,verify  inductive reasoning 2014 
OPQ UCF Development Action Planner Report 2.0,,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,opq ucf development action planner report 20 
OPQ Team Impact Group Development Report,,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,opq team impact group development report 
Marketing (New),,https://www.shl.com/products/product-catalog/view/marketing-new/,marketing new 
Hibernate (New),,https://www.shl.com/products/product-catalog/view/hibernate-new/,hibernate new 
Oracle DBA (Entry Level) (New),,https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,oracle dba entry level new 
HTML5 (New),,https://www.shl.com/products/product-catalog/view/html5-new/,html5 new 
AI Skills,,https://www.shl.com/products/product-catalog/view/ai-skills/,ai skills 
Nursing (New),,https://www.shl.com/products/product-catalog/view/nursing-new/,nursing new 
Enterprise Leadership Report 2.0,,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,enterprise leadership report 20 
Automata Front End,,https://www.shl.com/products/product-catalog/view/automata-front-end/,automata front end 
Filing - Numbers,,https://www.shl.com/products/product-catalog/view/filing-numbers/,filing  numbers 
SAP Hybris (New),,https://www.shl.com/products/product-catalog/view/sap-hybris-new/,sap hybris new 
Tableau (New),,https://www.shl.com/products/product-catalog/view/tableau-new/,tableau new 
360° Multi-Rater Feedback System (MFS),,https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,360 multirater feedback system mfs 
Verify Interactive Process Monitoring,,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,verify interactive process monitoring 
Production and Industrial Engineering (New),,https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,production and industrial engineering new 
Accounts Receivable (New),,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,accounts receivable new 
Paint Technology (New),,https://www.shl.com/products/product-catalog/view/paint-technology-new/,paint technology new 
Apache Kafka (New),,https://www.shl.com/products/product-catalog/view/apache-kafka-new/,apache kafka new 
Administrative Professional - Short Form,,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,administrative professional  short form 
OPQ Emotional Intelligence Report,,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,opq emotional intelligence report 
Automata Selenium,,https://www.shl.com/products/product-catalog/view/automata-selenium/,automata selenium 
Entry Level Hotel Front Desk Solution,,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/,entry level hotel front desk solution 
Production Engineering (New),,https://www.shl.com/products/product-catalog/view/production-engineering-new/,production engineering new 
SVAR - Spoken French (European) (New),,https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,svar  spoken french european new 
Siebel Development (New),,https://www.shl.com/products/product-catalog/view/siebel-development-new/,siebel development new 
Conversational Multichat Simulation,,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,conversational multichat simulation 
Verify Interactive G+ Report,,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,verify interactive g report 
MS Excel (New),,https://www.shl.com/products/product-catalog/view/ms-excel-new/,ms excel new 
Entry Level Technical Support Solution,,https://www.shl.com/products/product-catalog/view/entry-level-technical-support-solution/,entry level technical support solution 
Node.js (New),,https://www.shl.com/products/product-catalog/view/node-js-new/,nodejs new 
OPQ MQ Sales Report,,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,opq mq sales report 
.NET MVVM (New),,https://www.shl.com/products/product-catalog/view/net-mvvm-new/,net mvvm new 
Data Entry Alphanumeric Split Screen - US,,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,data entry alphanumeric split screen  us 
AngularJS (New),,https://www.shl.com/products/product-catalog/view/angularjs-new/,angularjs new 
DSI v1.1 Interpretation Report,,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,dsi v11 interpretation report 
MuleSoft Development (New),,https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,mulesoft development new 
Entry Level Sales Solution,,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,entry level sales solution 
Managerial Scenarios Profile Report,,https://www.shl.com/products/product-catalog/view/managerial-scenarios-profile-report/,managerial scenarios profile report 
Microservices (New),,https://www.shl.com/products/product-catalog/view/microservices-new/,microservices new 
Manufacturing & Industrial - Mechanical Focus 8.0,,https://www.shl.com/products/product-catalog/view/mechanical-focus-8-0/,manufacturing  industrial  mechanical focus 80 
Sales Transformation 2.0 - Individual Contributor,,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,sales transformation 20  individual contributor 
MQ Employee Motivation Report,,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,mq employee motivation report 
SQL Server Analysis Services (SSAS) (New),,https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,sql server analysis services ssas new 
Bilingual Spanish Reservation Agent Solution,,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,bilingual spanish reservation agent solution 
Executive Scenarios Narrative Report,,https://www.shl.com/products/product-catalog/view/executive-scenarios-narrative-report/,executive scenarios narrative report 
OPQ Candidate Report 2.0,,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,opq candidate report 20 
Geoscience Engineering (New),,https://www.shl.com/products/product-catalog/view/geoscience-engineering-new/,geoscience engineering new 
Automation Anywhere RPA Development (New),,https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,automation anywhere rpa development new 
GIT (New),,https://www.shl.com/products/product-catalog/view/git-new/,git new 
Operations Management (New),,https://www.shl.com/products/product-catalog/view/operations-management-new/,operations management new 
Oracle DBA (Advanced Level) (New),,https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,oracle dba advanced level new 
Virtual Assessment and Development Centers,,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,virtual assessment and development centers 
Electrical and Electronics Engineering (New),,https://www.shl.com/products/product-catalog/view/electrical-and-electronics-engineering-new/,electrical and electronics engineering new 
OPQ UCF Development Action Planner Report 1.0,,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,opq ucf development action planner report 10 
Written English v1,,https://www.shl.com/products/product-catalog/view/written-english-v1/,written english v1 
Organic Chemistry (New),,https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,organic chemistry new 
Adobe Experience Manager (New),,https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,adobe experience manager new 
Zabbix (New),,https://www.shl.com/products/product-catalog/view/zabbix-new/,zabbix new 
Aeronautical Engineering (New),,https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,aeronautical engineering new 
MQ Candidate Motivation Report,,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,mq candidate motivation report 
SVAR - Spoken English (AUS),,https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/,svar  spoken english aus 
Aerospace Engineering (New),,https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,aerospace engineering new 
Agency Manager Solution,,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,agency manager solution 
